Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,CPIAUCSL,FEDFUNDS
1997-01-02,21.394847759302113,22.19916534423828,21.0409480219302,22.19916534423828,3221800,0.0,0.0,159.4,5.25
1997-01-03,22.13482602999977,22.19917145450558,21.587889921700356,21.813098907470703,2941200,0.0,0.0,159.4,5.25
1997-01-06,21.84527587890625,21.90962131595752,21.459203256598627,21.84527587890625,2311000,0.0,0.0,159.4,5.25
1997-01-07,21.748748426821123,21.748748426821123,21.298330559993467,21.5878849029541,2611600,0.0,0.0,159.4,5.25
1997-01-08,21.587888270705495,21.65223369029031,21.298333882573825,21.555715560913086,2242600,0.0,0.0,159.4,5.25
1997-01-09,21.587883996322017,21.620056699744254,21.394847775788584,21.52353858947754,1937400,0.0,0.0,159.4,5.25
1997-01-10,21.23398846298901,21.684406400082715,21.23398846298901,21.555715560913086,1874600,0.0,0.0,159.4,5.25
1997-01-13,21.587892678187885,21.652238110909757,21.29833823093946,21.45920181274414,1749800,0.0,0.0,159.4,5.25
1997-01-14,21.491367921801256,22.102649344726743,21.427022508861732,21.94178581237793,2608200,0.0,0.0,159.4,5.25
1997-01-15,21.813098015869862,22.00613428149703,21.68440717211842,21.74875259399414,1900400,0.0,0.0,159.4,5.25
1997-01-16,21.813100099215543,22.03830909729004,21.65223652916233,22.03830909729004,2260800,0.0,0.0,159.4,5.25
1997-01-17,22.03830909729004,22.231345381353893,21.877445527236826,22.03830909729004,2229400,0.0,0.0,159.4,5.25
1997-01-20,22.102653317746864,22.13482602999977,21.813098907470703,21.813098907470703,1784000,0.0,0.0,159.4,5.25
1997-01-21,21.684412286278075,22.070484908585694,21.684412286278075,21.84527587890625,1843600,0.0,0.0,159.4,5.25
1997-01-22,21.74874696277437,21.74874696277437,21.266156423659552,21.62005615234375,1954000,0.0,0.0,159.4,5.25
1997-01-23,21.620064938415247,21.620064938415247,21.0087833404541,21.0087833404541,1729600,0.0,0.0,159.4,5.25
1997-01-24,21.073130398620794,21.073130398620794,20.590539626133296,20.84792137145996,2573800,0.0,0.0,159.4,5.25
1997-01-27,20.847922953163707,21.137477438624312,20.751404791343504,21.105304718017578,1891200,0.0,0.0,159.4,5.25
