Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,CPIAUCSL,FEDFUNDS
2013-12-12,41.756479573486445,42.971926105883995,41.65845957427993,42.1485595703125,12935478,0.0,0.0,159.4,5.25
2013-12-13,43.10915531947357,43.87370838052023,42.2465786170224,43.324798583984375,1224854,0.0,0.0,159.4,5.25
2013-12-16,45.24599852406871,50.48026243982935,42.18777465820312,42.187774658203125,4717690,0.0,0.0,159.4,5.25
2013-12-17,42.36420658956264,43.109160107235105,42.305396771478,42.75628662109375,2313840,0.0,0.0,159.4,5.25
2013-12-18,42.79548645019531,43.48162639769252,42.46221993345979,42.79548645019531,2857846,0.0,0.0,159.4,5.25
2013-12-19,42.638670888400625,43.932534492610955,42.24659078746361,43.67768096923828,1469103,0.0,0.0,159.4,5.25
2013-12-20,44.1089618709689,44.206981883421946,42.85430862709673,42.99153518676758,994834,0.0,0.0,159.4,5.25
2013-12-23,43.14836191998568,43.501231723014854,42.266181945800774,42.26618194580078,1220712,0.0,0.0,159.4,5.25
2013-12-24,42.34460769024827,42.48183425769366,41.46242752819109,42.16817092895508,1234064,0.0,0.0,159.4,5.25
2013-12-26,42.26619262387388,43.050352799036276,42.246589348376595,42.5406494140625,1309211,0.0,0.0,159.4,5.25
2013-12-27,42.344600677490234,42.81509741488275,42.246580675717134,42.344600677490234,1090302,0.0,0.0,159.4,5.25
2013-12-30,42.57985384001587,43.069953925032856,42.34460725697121,42.913124084472656,871832,0.0,0.0,159.4,5.25
2013-12-31,43.12875835508897,44.05014486407492,43.030738358626294,43.618858337402344,1134308,0.0,0.0,159.4,5.25
2014-01-02,43.61886203340848,43.81490204294511,42.677868529869365,42.854305267333984,1763791,0.0,0.0,159.4,5.25
2014-01-03,42.73668173209584,43.305194840788054,42.63866172792018,43.14836502075195,461257,0.0,0.0,159.4,5.25
2014-01-06,43.109154206794905,43.36400400576327,42.658260774485505,43.12875747680664,1172320,0.0,0.0,159.4,5.25
2014-01-07,43.12875747680664,43.32479746573979,42.93271748787349,43.12875747680664,1992593,0.0,0.0,159.4,5.25
2014-01-08,43.187580108642585,43.187580108642585,42.73669018687802,43.18758010864258,1154240,0.0,0.0,159.4,5.25
2014-01-09,43.12877014420613,43.167976695745004,42.56025328043868,42.87391662597656,459600,0.0,0.0,159.4,5.25
2014-01-10,42.65826842923165,42.854308453342895,42.28579165453857,42.52104187011719,812329,0.0,0.0,159.4,5.25
2014-01-13,42.26618595149752,42.79549252840929,42.26618595149752,42.57984924316406,728216,0.0,0.0,159.4,5.25
2014-01-14,42.56024187852974,43.34440185450209,42.42301534049777,43.324798583984375,1251608,0.0,0.0,159.4,5.25
2014-01-15,43.22679216434368,43.46203877326217,42.795501855447604,42.952335357666016,915253,0.0,0.0,159.4,5.25
